title,genres,release_date,budget,revenue,id
The Wedding Planner,"Comedy, Romance",2001-01-26,35000000,94728529,2018
The Forbidden Kingdom,"Action, Adventure, Fantasy",2008-04-18,55000000,127906624,1729
Child 44,"Crime, Thriller",2015-03-15,50000000,3324330,181283
Planes,"Animation, Family, Adventure, Comedy",2013-08-09,50000000,219788712,151960
From Up on Poppy Hill,"Animation, Drama",2011-07-16,22000000,61037844,83389
The Infiltrator,"Crime, Drama, Thriller",2016-07-13,28000000,21011110,325789
The Signal,"Thriller, Science Fiction",2014-03-15,4000000,2665322,242095
Born on the Fourth of July,"Drama, War",1989-12-20,14000000,161001698,2604
Made of Honor,"Comedy, Romance",2008-04-30,40000000,106407672,10761
Meet the Spartans,Comedy,2008-01-24,30000000,85897593,7278
World Trade Center,"Drama, History, Thriller",2006-08-09,65000000,163247198,1852
Capernaum,Drama,2018-09-20,4000000,64978931,517814
The Hours,Drama,2002-12-27,25000000,41597830,590
Suffragette,"Drama, History",2015-10-16,14000000,16002420,245168
Detroit,"Crime, Drama, Thriller, History",2017-07-28,34000000,23355100,407448
Pleasantville,"Fantasy, Comedy, Drama",1998-09-17,60000000,49805462,2657
Sex and the City 2,"Comedy, Drama, Romance",2010-05-26,100000000,290745055,37786
Sense and Sensibility,"Drama, Romance",1995-12-13,16000000,134582776,4584
Precious,Drama,2009-11-06,10000000,47536959,25793
Network,Drama,1976-11-14,3800000,23689877,10774
Monster-in-Law,"Romance, Comedy",2005-05-13,43000000,154749918,4379
Clue,"Comedy, Thriller, Crime, Mystery",1985-12-13,15000000,14643997,15196
Grindhouse,"Thriller, Action, Horror",2007-04-06,67000000,25422088,285923
Automata,"Thriller, Science Fiction",2014-10-09,7000000,6237990,262543
Failure to Launch,"Comedy, Romance",2006-03-10,50000000,128406887,6877
Barton Fink,"Comedy, Drama",1991-08-01,9000000,6153939,290
Zookeeper,"Comedy, Romance, Family",2011-07-06,80000000,169852759,38317
Alvin and the Chipmunks: The Road Chip,"Adventure, Animation, Comedy, Family",2015-12-17,90000000,233755553,258509
The Cat in the Hat,"Comedy, Adventure, Family, Fantasy",2003-11-21,109000000,133800000,10588
The Dressmaker,"Drama, Comedy",2015-10-29,11930000,25003426,298382
Super Size Me,Documentary,2004-01-17,65000,28575078,9372
G.I. Jane,"Action, Drama",1997-08-19,50000000,48169156,4421
The Girl Who Played with Fire,"Drama, Action, Thriller, Crime, Mystery",2009-09-18,4422952,67126795,24253
Talladega Nights: The Ballad of Ricky Bobby,Comedy,2006-08-04,72500000,162966177,9718
Heathers,"Comedy, Crime",1989-03-31,3000000,1108462,2640
I Love You Phillip Morris,"Comedy, Crime, Drama, Romance",2009-01-18,13000000,20768906,8952
Hereafter,"Drama, Fantasy",2010-10-22,50000000,106956330,44603
Blitz,"Crime, Action, Thriller",2011-05-20,15774948,15800000,55846
What a Girl Wants,"Comedy, Romance, Drama, Family",2003-03-27,20000000,50732139,10735
The 15:17 to Paris,"Drama, Thriller",2018-02-07,30000000,57076286,453201
Hot Pursuit,"Action, Comedy, Crime",2015-05-08,35000000,51680201,268920
Frank,"Comedy, Drama, Mystery",2014-05-09,1000000,1897363,171372
Over the Top,"Action, Drama",1987-02-13,25000000,16057580,1825
The Conversation,"Crime, Drama, Mystery",1974-04-07,1600000,4420000,592
The Angry Birds Movie 2,"Animation, Comedy, Adventure, Family",2019-08-02,65000000,147792047,454640
The Brand New Testament,"Comedy, Fantasy",2015-09-02,8700000,15709652,330764
Philomena,Drama,2013-11-01,12000000,100129872,205220
The Wailing,"Horror, Mystery",2016-05-12,10951000,49851770,293670
Cats & Dogs,"Family, Comedy",2001-07-04,60000000,93375151,10992
Strangers on a Train,"Crime, Thriller",1951-06-27,1200000,7000000,845
Scoop,"Comedy, Mystery",2006-07-27,4000000,31584901,512
Skyline,"Science Fiction, Adventure, Action, Thriller",2010-11-11,10000000,66984888,42684
The Finest Hours,"Action, Drama, History, Thriller",2016-01-27,80000000,52099090,300673
The Great Mouse Detective,"Animation, Family, Adventure, Mystery",1986-07-02,14000000,38625550,9994
Any Given Sunday,Drama,1999-12-22,55000000,100230832,9563
The Unbearable Weight of Massive Talent,"Action, Comedy, Crime",2022-04-20,30000000,29116320,648579
The Maltese Falcon,"Mystery, Crime, Thriller",1941-10-18,375000,1772000,963
Maggie,"Horror, Drama, Mystery",2015-05-08,4000000,187112,287424
Texas Chainsaw 3D,"Horror, Thriller",2013-01-03,10000000,47340586,76617
The Last Emperor,"Drama, History",1987-10-04,23000000,43984230,746
Ruby Sparks,"Comedy, Romance, Fantasy, Drama",2012-07-25,8000000,9128263,103332
Billy Madison,Comedy,1995-02-10,10000000,26488734,11017
Another Earth,"Drama, Science Fiction",2011-07-22,100000,1938783,55420
Speed 2: Cruise Control,"Action, Adventure, Thriller",1997-06-13,160000000,164508066,1639
All Is Lost,"Action, Adventure, Drama",2013-08-23,9000000,6108720,152747
The Wedding Ringer,Comedy,2015-01-16,23000000,79799880,252838
Smokin' Aces,"Action, Comedy, Crime, Thriller",2006-12-09,17000000,57103895,7516
Gold,"Adventure, Drama, Thriller",2016-02-03,20000000,14880939,334524
Malcolm X,"Drama, History",1992-11-18,34000000,48169908,1883
The Heartbreak Kid,"Comedy, Romance",2007-10-05,60000000,127766650,9038
Hostage,"Action, Thriller, Crime",2005-03-10,52000000,77944725,2026
Miller's Crossing,"Drama, Thriller, Crime",1990-09-21,14000000,5080409,379
Amour,"Drama, Romance",2012-09-20,8900000,29844753,86837
The Possession,"Horror, Thriller",2012-08-30,14000000,85446075,77883
A Perfect World,"Drama, Crime",1993-11-24,30000000,135130999,9559
The Score,"Action, Crime, Thriller, Mystery",2001-07-13,68000000,113579918,11371
Spencer,Drama,2021-11-04,18000000,14000000,716612
La Vie en Rose,"Music, Drama",2007-02-14,25000000,86274793,1407
Trumbo,Drama,2015-10-27,15000000,8235661,294016
The Kingdom,"Thriller, Action, Drama",2007-08-22,70000000,86658558,4349
Halloween H20: 20 Years Later,"Horror, Thriller",1998-08-05,17000000,75000000,11675
The Full Monty,Comedy,1997-08-13,3500000,257850122,9427
Rebel Without a Cause,Drama,1955-10-27,1500000,4500000,221
Sideways,"Comedy, Drama, Romance",2004-10-22,16000000,109502303,9675
The Peanuts Movie,"Comedy, Animation, Family",2015-11-05,99000000,246233113,227973
Happy Feet Two,"Animation, Comedy, Family",2011-11-17,130000000,150406466,65759
Mississippi Burning,"Drama, Crime",1988-12-08,15000000,34604000,1632
Witness,"Crime, Drama, Romance, Thriller",1985-02-08,12000000,68706993,9281
The Phantom of the Opera,"Thriller, Drama, Romance",2004-12-08,70000000,154648887,9833
Big Momma's House 2,"Comedy, Crime",2006-01-26,40000000,138259062,11565
In the Mouth of Madness,"Horror, Thriller, Mystery",1995-02-03,8000000,8946600,2654
Iron Sky,"Action, Comedy, Science Fiction",2012-04-04,7500000,10109659,10679
Jeepers Creepers 2,Horror,2003-08-08,17000000,63102666,11351
Chernobyl Diaries,"Horror, Thriller",2012-05-24,1000000,38390020,93856
The Ladykillers,"Comedy, Crime, Thriller",2004-03-25,35000000,76700000,5516
Sphere,"Science Fiction, Mystery, Thriller",1998-02-13,80000000,37020277,10153
Little White Lies,"Comedy, Drama",2010-10-20,25000000,48531470,48034
Braindead,"Horror, Comedy",1992-08-13,3000000,242623,763
Species,"Science Fiction, Horror, Action",1995-07-07,35000000,113374103,9348
House of Flying Daggers,"Adventure, Drama, Action",2004-05-19,15000000,92863945,9550
The Dead Zone,"Thriller, Horror, Science Fiction",1983-10-21,10000000,20766616,11336
Friday the 13th Part 2,Horror,1981-05-01,1250000,21722776,9725
Wild at Heart,"Crime, Thriller, Romance",1990-08-17,9500000,14560247,483
Silent Hill: Revelation 3D,"Thriller, Horror, Mystery",2012-10-10,20000000,55362705,61012
Taking Lives,"Crime, Thriller",2004-03-19,45000000,65470529,11081
Red Dawn,"Action, Thriller",2012-03-15,65000000,44806783,60747
Jackass Presents: Bad Grandpa,Comedy,2013-10-22,15000000,151831537,208134
Jacob's Ladder,"Drama, Mystery, Horror",1990-11-02,25000000,26118851,2291
The X Files,"Mystery, Science Fiction, Thriller",1998-06-19,66000000,189198313,846
Secretary,"Comedy, Drama, Romance",2002-09-20,4000000,9304609,11013
Patriot Games,"Drama, Action, Thriller, Crime",1992-06-04,45000000,178051587,9869
Hide and Seek,"Horror, Mystery",2005-01-27,30000000,127369981,11096
Mank,"Drama, History",2020-11-13,25000000,122252,614560
Something's Gotta Give,"Drama, Comedy, Romance",2003-12-12,80000000,266728738,6964
Cocaine Bear,"Thriller, Comedy, Crime",2023-02-22,32500000,87649532,804150
Infernal Affairs,"Drama, Action, Thriller, Crime, Mystery",2002-12-12,125000,8708932,10775
A Beautiful Day in the Neighborhood,"Drama, History",2019-09-07,25000000,67925733,501907
House of 1000 Corpses,"Horror, Crime",2003-04-11,7000000,17949758,2662
Accepted,Comedy,2006-08-18,23000000,38505009,9788
Maverick,"Action, Adventure, Comedy, Drama, Western",1994-05-20,75000000,183031272,9359
Paul Blart: Mall Cop 2,"Action, Comedy, Family",2015-04-16,38000000,107597242,256961
Bonnie and Clyde,"Crime, Drama",1967-08-14,2500000,50700000,475
Oliver & Company,"Animation, Comedy, Family",1988-11-18,31000000,74151346,12233
Race,"Drama, History",2016-02-19,5000000,24804129,323677
Bewitched,"Comedy, Fantasy, Romance",2005-06-21,85000000,131426169,9722
Ultraviolet,"Science Fiction, Action, Thriller",2006-03-03,30000000,31070211,9920
A Single Man,"Drama, Romance",2009-10-19,7000000,24964890,34653
Diary of a Wimpy Kid,"Comedy, Family",2010-03-19,15000000,76196538,33217
Anon,Science Fiction,2018-05-03,20000000,1197741,396806
Glory,"Drama, History, War",1989-12-15,18000000,26828365,9665
Troll Hunter,"Fantasy, Horror",2010-10-29,3500000,4159678,46146
The Karate Kid Part III,"Action, Family, Drama, Adventure",1989-06-16,12500000,38956288,10495
Eye in the Sky,"Drama, Thriller, War",2015-09-07,13000000,18704595,333352
Jackass: The Movie,"Comedy, Documentary",2002-10-25,5000000,64282312,9012
Brick Mansions,"Action, Crime, Drama",2014-04-22,28000000,71416730,254473
The Muppets,"Comedy, Music",2011-11-22,45000000,165184237,64328
Seed of Chucky,"Comedy, Horror, Thriller",2004-11-12,12000000,24829644,11249
21 & Over,Comedy,2013-03-01,13000000,48065672,107811
Tenacious D in The Pick of Destiny,"Comedy, Music",2006-11-22,22000000,13405595,2179
The Gold Rush,"Adventure, Comedy, Drama",1925-07-12,923000,4000000,962
"Legally Blonde 2: Red, White & Blonde","Comedy, Romance",2003-07-02,45000000,124914842,10327
Candyman,"Drama, Horror, Thriller",1992-10-16,6000000,25792310,9529
mid90s,"Drama, Comedy",2018-10-19,258158,6897446,437586
Nacho Libre,"Comedy, Family",2006-06-16,35000000,99255460,9353
Land of the Dead,"Horror, Science Fiction",2005-06-18,15000000,47074133,11683
The One,"Action, Science Fiction, Thriller",2001-11-02,49000000,72689126,10796
U.S. Marshals,"Thriller, Crime, Action",1998-03-06,60000000,102367405,11808
Driving Miss Daisy,Drama,1989-12-13,7500000,145793296,403
Blood Father,"Action, Thriller, Drama",2016-08-11,13000000,6903033,309886
Hotel Artemis,"Thriller, Science Fiction, Action",2018-06-07,15000000,12371132,406761
Pinocchio,"Drama, Family, Fantasy",2019-12-19,12400000,17133446,413518
Notorious,"Thriller, Romance, Mystery",1946-08-21,2000000,24500000,303
Deliverance,"Drama, Adventure, Thriller",1972-08-18,2000000,46122355,10669
Trouble with the Curve,"Drama, Romance",2012-09-21,60000000,49000000,87825
The Marksman,Action,2021-01-15,23000000,23076711,634528
Epic Movie,"Comedy, Action, Adventure",2007-01-25,20000000,86865564,9760
Serenity,"Thriller, Mystery, Drama",2019-01-24,25000000,14454622,452832
Girls Trip,Comedy,2017-07-21,19000000,140376621,417870
Monsters,"Drama, Thriller, Science Fiction",2010-06-18,500000,5639730,43933
Premonition,"Thriller, Drama, Mystery",2007-02-08,20000000,84297309,9963
Edge of Darkness,"Crime, Drama, Mystery, Thriller",2010-01-28,80000000,81126522,12201
Dead Man,"Drama, Fantasy, Western",1995-12-23,9000000,103800000,922
The Zookeeper's Wife,"Drama, History, War",2017-03-24,20000000,26152835,289222
Smallfoot,"Family, Animation, Adventure, Fantasy",2018-09-20,80000000,214115531,446894
Halloween Ends,"Horror, Thriller",2022-10-12,20000000,104361355,616820
Cry-Baby,"Comedy, Romance",1990-04-06,11000000,8266343,9768
Following,"Drama, Thriller",1999-04-02,6000,48482,11660
Curse of Chucky,"Horror, Thriller",2013-10-08,5000000,3800000,167032
Only the Brave,"Drama, Action, History",2017-09-22,38000000,25754775,395991
Freaky,"Comedy, Fantasy, Horror, Thriller",2020-11-12,5000000,15104310,551804
The Cell,"Horror, Science Fiction, Thriller",2000-08-17,33000000,104155843,8843
Unsane,"Horror, Thriller",2018-02-21,1500000,14293601,467660
Burning,"Mystery, Drama, Thriller",2018-05-17,7280000,6591038,491584
Unfriended: Dark Web,"Horror, Thriller, Mystery",2018-07-19,1000000,16024987,505058
Speed Racer,"Family, Action, Adventure, Comedy",2008-05-07,120000000,93945766,7459
Assassins,"Action, Adventure, Crime, Thriller",1995-10-06,50000000,30303072,9691
On the Waterfront,"Crime, Drama",1954-06-22,910000,9600000,654
Jay and Silent Bob Strike Back,Comedy,2001-08-22,22000000,33788161,2294
Bowling for Columbine,"Documentary, Drama",2002-10-09,4000000,35564473,1430
Hitchcock,Drama,2012-11-22,15700000,23570541,112336
Minari,Drama,2021-02-12,2000000,12886100,615643
The Way Back,"Drama, Adventure, History",2010-11-22,30000000,24172201,49009
Mercury Rising,"Action, Crime, Drama, Thriller",1998-04-03,60000000,93107289,8838
No Hard Feelings,"Comedy, Romance",2023-06-15,45000000,82995526,884605
The Ten Commandments,"Drama, History",1956-10-05,13000000,122700000,6844
Daylight,"Action, Adventure, Thriller",1996-12-06,80000000,159212469,11228
Cop Land,"Crime, Drama, Mystery",1997-08-15,15000000,44862187,2142
Super,"Comedy, Action, Drama",2010-11-26,2500000,324138,45132
Snake Eyes: G.I. Joe Origins,"Action, Adventure",2021-07-22,88000000,36964325,568620
Child's Play 3,"Horror, Thriller",1991-08-30,13000000,20560255,11187
Looney Tunes: Back in Action,"Animation, Comedy, Family",2003-11-14,80000000,68514844,10715
Aquamarine,"Fantasy, Romance, Family, Comedy",2006-03-03,12000000,23006849,14191
The Manchurian Candidate,"Drama, Thriller, Mystery",2004-07-30,80000000,96105964,14462
An Officer and a Spy,"History, Drama, Thriller",2019-09-30,25300000,18878646,399121
Sorry to Bother You,"Fantasy, Science Fiction, Comedy",2018-07-06,3200000,18200000,424781
Terrifier 2,"Horror, Thriller",2022-10-06,250000,15065239,663712
Wall Street: Money Never Sleeps,"Drama, Crime",2010-09-20,70000000,134748021,33909
The Pelican Brief,Thriller,1993-09-17,45000000,195268056,9944
Cop Out,"Action, Comedy, Crime",2010-02-26,30000000,55583804,23742
Sweet Home Alabama,"Comedy, Romance",2002-09-26,30000000,180622424,11529
Astro Boy,"Animation, Action, Family, Science Fiction",2009-10-15,10000000,19551067,16577
All About Eve,Drama,1950-10-06,1400000,8400000,705
Flatliners,"Drama, Science Fiction, Horror",1990-08-10,26000000,61489265,1551
Animal House,Comedy,1978-07-27,2700000,141000000,8469
Those Who Wish Me Dead,"Thriller, Action",2021-05-05,20000000,23384502,578701
In the Line of Fire,"Action, Drama, Thriller, Crime, Mystery",1993-07-08,40000000,176997168,9386
Eighth Grade,"Comedy, Drama",2018-01-19,2000000,13539709,489925
Frankenstein,"Drama, Horror, Science Fiction",1931-11-21,291000,12000000,3035
Air,"Drama, History",2023-04-05,90000000,87078875,964980
Dope,"Crime, Drama, Comedy",2015-06-19,7000000,17986781,308639
A Prophet,"Crime, Drama",2009-08-26,13000000,17873691,21575
National Lampoon's Vacation,"Comedy, Adventure",1983-07-29,15000000,61399552,11153
Candyman,"Horror, Mystery, Thriller",2021-08-25,25000000,77411570,565028
Under Siege,"Action, Thriller",1992-10-08,35000000,156563139,8845
Florence Foster Jenkins,"Comedy, Drama",2016-05-06,29000000,48902953,315664
August: Osage County,"Comedy, Drama",2013-12-26,25000000,74188937,152737
Slither,"Horror, Science Fiction, Comedy",2006-03-31,15000000,12834936,9035
Into the Blue,"Action, Thriller, Adventure, Crime",2005-09-30,50000000,46117696,11968
Taxi 3,"Action, Comedy",2003-01-29,14500000,65497208,2334
The Transporter Refueled,"Action, Thriller, Crime",2015-09-02,25000000,72629670,287948
Stronger,Drama,2017-09-22,30000000,8484418,395993
Delivery Man,Comedy,2013-10-10,26000000,51164106,146239
Police Academy 2: Their First Assignment,"Comedy, Crime",1985-03-28,7600000,55600000,10157
The Cabinet of Dr. Caligari,"Drama, Horror, Thriller, Crime",1920-02-27,18000,8811,234
Ninja Assassin,"Action, Adventure, Thriller",2009-09-29,40000000,61601280,22832
Unfaithful,"Thriller, Drama",2002-05-10,50000000,119137784,2251
Good Luck Chuck,"Comedy, Romance",2007-09-21,25000000,59192128,10030
The Frighteners,"Horror, Comedy",1996-07-18,30000000,29359216,10779
The Adventures of Sharkboy and Lavagirl,"Adventure, Family, Science Fiction",2005-06-10,50000000,71992655,14199
Volcano,"Science Fiction, Action, Drama, Thriller",1997-04-25,90000000,122823468,10357
Cold War,"Drama, Romance, War, Music",2018-06-08,4954500,18754051,440298
Never Been Kissed,"Romance, Comedy, Drama",1999-04-09,25000000,84565230,11355
Junior,"Comedy, Family, Romance",1994-11-22,60000000,108431355,6280
My Cousin Vinny,Comedy,1992-03-13,11000000,64088552,10377
A Good Year,"Comedy, Drama, Romance",2006-09-09,35000000,42064105,9726
Morgan,"Horror, Science Fiction, Thriller",2016-09-01,8000000,8810591,377264
The Invasion,"Science Fiction, Thriller, Mystery, Horror",2007-08-17,80000000,40170558,4858
Macbeth,"Drama, War",2015-08-16,15000000,16322067,225728
Brotherhood of the Wolf,"Adventure, Horror, Action, History",2001-01-31,29000000,70752904,6312
Walking Tall,"Adventure, Drama, Action, Thriller",2004-04-02,46000000,57223888,11358
Morning Glory,"Drama, Comedy, Romance",2010-11-10,40000000,60040976,38357
The Kids Are All Right,"Comedy, Drama",2010-07-09,3500000,34705850,39781
Fool's Gold,"Adventure, Romance, Comedy",2008-02-07,70000000,111231041,8676
Boss Level,"Action, Science Fiction, Thriller",2021-02-19,45000000,2000000,513310
The November Man,"Crime, Action, Thriller",2014-08-27,15000000,32556119,254904
Kiss the Girls,"Thriller, Crime, Mystery, Drama",1997-09-29,27000000,60527873,9437
The Guardian,"Action, Adventure, Drama",2006-09-28,10000000,94973540,4643
Broken City,"Thriller, Crime, Drama",2013-01-18,56000000,34737199,98357
Ran,"Action, Drama, History",1985-06-01,11500005,11859533,11645
Free State of Jones,"Action, Drama, History, War",2016-06-24,50000000,25035950,316152
The Straight Story,Drama,1999-10-15,10000000,6203044,404
The Jacket,"Thriller, Mystery, Drama, Science Fiction, Fantasy",2005-03-04,29000000,21733230,9667
To Catch a Thief,"Mystery, Thriller, Romance, Comedy, Crime",1955-08-03,2500000,8750000,381
Goosebumps 2: Haunted Halloween,"Adventure, Comedy, Fantasy, Family, Horror",2018-10-11,35000000,93320380,442062
A Dog's Journey,"Family, Adventure, Drama",2019-05-03,16000000,78871079,522518
Intolerable Cruelty,"Comedy, Romance",2003-09-02,60000000,119940815,11775
Broken Arrow,"Action, Thriller, Adventure",1996-02-09,50000000,150270147,9208
The Loft,Thriller,2014-10-14,14000000,10076790,72784
Audition,"Horror, Drama",1999-10-06,250000,359853,11075
Conan the Destroyer,"Adventure, Fantasy, Action",1984-06-29,18000000,31042035,9610
C'est la vie!,Comedy,2017-10-04,17200000,23800000,432068
I Still Know What You Did Last Summer,"Horror, Mystery, Thriller",1998-11-13,65000000,40002112,3600
The Piano,"Drama, Romance",1993-05-19,7000000,40185556,713
The X Files: I Want to Believe,"Drama, Mystery, Science Fiction, Thriller",2008-07-24,30000000,69363381,8836
The Fog,Horror,1980-02-08,1000000,21448830,790
United 93,"Drama, History, Crime, Thriller, Action",2006-04-28,15000000,76286096,9829
Angel Heart,"Horror, Mystery",1987-03-06,17000000,17186348,635
Pink Floyd: The Wall,"Music, Drama",1982-07-14,12000000,22244207,12104
Final Fantasy: The Spirits Within,"Adventure, Action, Fantasy, Science Fiction, Thriller, Romance, Animation",2001-07-02,137000000,85131830,2114
Blue Streak,"Action, Comedy, Crime",1999-09-17,65000000,117758500,11001
Y Tu Mamá También,"Drama, Romance",2001-06-08,5000000,33616692,1391
Judas and the Black Messiah,"Drama, History",2021-02-12,26000000,6416063,583406
The Constant Gardener,"Drama, Mystery, Thriller",2005-08-31,25000000,82468097,1985
Before the Devil Knows You're Dead,"Crime, Drama, Thriller",2007-09-26,18000000,25005257,7972
Dennis the Menace,"Family, Comedy",1993-06-24,35000000,117270765,12139
The Frozen Ground,"Thriller, Crime",2013-07-11,27220000,5496951,199373
The Darkest Hour,"Horror, Action, Thriller, Science Fiction",2011-12-22,30000000,64626786,71469
Sahara,"Action, Adventure, Comedy, Drama, Mystery",2005-04-06,130000000,119269486,7364
DC League of Super-Pets,"Animation, Action, Family, Comedy, Science Fiction",2022-07-27,90000000,203000000,539681
Scrooged,"Fantasy, Comedy, Drama",1988-11-22,32000000,60328558,9647
Clear and Present Danger,"Action, Drama, Thriller",1994-08-03,62000000,215887717,9331
[REC]³ Genesis,Horror,2012-03-30,6400000,11019975,80280
Blue Ruin,"Crime, Thriller",2014-04-25,420000,993313,188166
West Side Story,"Drama, Romance, Crime",2021-12-08,100000000,74530532,511809
Harold & Kumar Escape from Guantanamo Bay,"Comedy, Adventure",2008-04-25,12000000,43493123,13335
Pokémon: The First Movie,"Animation, Family, Adventure, Fantasy, Action",1998-07-18,30000000,163644662,10228
EverAfter,"Drama, Romance, Comedy",1998-07-31,26000000,65705772,9454
The Hundred-Foot Journey,"Drama, Comedy",2014-08-06,22000000,89514453,228194
Paranormal Activity: The Marked Ones,"Horror, Thriller",2014-01-01,5000000,90894962,227348
Street Kings,"Action, Crime, Drama, Thriller",2008-04-10,20000000,66476363,1266
Star Trek IV: The Voyage Home,"Science Fiction, Adventure",1986-11-26,24000000,133000000,168
King Kong,"Adventure, Fantasy, Horror",1933-03-15,672000,10000000,244
Practical Magic,"Romance, Comedy, Fantasy",1998-10-16,75000000,46733235,6435
Short Circuit,"Comedy, Family, Science Fiction",1986-05-09,10000000,40697761,2605
Jonah Hex,"Action, Western, Drama, Fantasy, Thriller",2010-06-18,47000000,10539000,20533
Here Comes the Boom,"Comedy, Action",2012-10-11,42000000,73100000,87826
The Hills Have Eyes 2,"Horror, Thriller",2007-03-22,15000000,37697773,9793
Charlie Wilson's War,"Comedy, Drama, History",2007-12-19,75000000,119483446,6538
The Collector,"Horror, Thriller",2009-07-09,3400000,114000000,21407
Street Fighter,"Action, Adventure, Comedy, Thriller",1994-12-23,35000000,99423521,11667
Smurfs: The Lost Village,"Family, Adventure, Animation, Comedy",2017-03-23,60000000,197183546,137116
Six Days Seven Nights,"Adventure, Action, Comedy, Romance",1998-06-12,70000000,164839294,6068
Sisu,"Action, War",2023-01-27,6200000,13009289,840326
Marrowbone,"Thriller, Horror, Drama, Mystery",2017-10-27,8000000,12294931,399366
The Incredible Burt Wonderstone,Comedy,2013-03-14,30000000,27437881,124459
Where the Crawdads Sing,"Drama, Mystery, Romance",2022-07-14,24000000,144353965,682507
The Belko Experiment,"Horror, Thriller",2016-03-17,5000000,10166820,341006
Days of Thunder,"Adventure, Action, Drama",1990-06-27,60000000,157920733,2119
The Interpreter,"Crime, Thriller",2005-04-08,80000000,162944923,179
Behind Enemy Lines,"Action, Drama, Thriller, War",2001-11-30,40000000,91753202,8007
48 Hrs.,"Thriller, Action, Comedy, Crime, Drama",1982-12-07,12000000,78868508,150
Vacancy,"Horror, Thriller",2007-04-20,19000000,35300645,10294
Conspiracy Theory,"Action, Drama, Mystery, Thriller",1997-08-08,75000000,136982834,8834
Stepmom,"Drama, Romance, Comedy",1998-12-25,50000000,159710793,9441
What Men Want,"Comedy, Romance",2019-02-08,20000000,69766483,487297
The Lazarus Effect,"Horror, Thriller, Mystery, Science Fiction",2015-01-29,3300000,64110728,243940
Field of Dreams,"Drama, Fantasy",1989-04-21,15000000,84431625,2323
Red Heat,"Action, Crime",1988-06-17,29000000,34994648,9604
The Back-Up Plan,"Comedy, Romance",2010-04-23,35000000,77477008,34806
Safety Not Guaranteed,"Comedy, Romance, Science Fiction",2012-06-08,750000,4424699,84332
Re-Animator,"Science Fiction, Comedy, Horror",1985-10-18,900000,2023414,1694
Flashdance,"Drama, Romance",1983-04-14,7000000,201500000,535
Escape Plan 2: Hades,"Action, Thriller, Mystery",2018-06-05,20000000,17500000,440471
Motherless Brooklyn,"Drama, Thriller",2019-10-31,26000000,18377736,504562
Meet Dave,"Comedy, Science Fiction, Adventure, Family",2008-07-08,60000000,50650079,11260
Cocktail,"Romance, Drama, Comedy",1988-07-29,20000000,171504781,7520
A Most Violent Year,"Crime, Drama, Thriller",2014-12-31,20000000,12007070,241239
The Messenger: The Story of Joan of Arc,"Adventure, Drama, Action, History, War",1999-10-27,85000000,66976317,10047
The Art of Racing in the Rain,"Drama, Romance, Comedy, Family",2019-08-08,18000000,33766787,522924
Mother,"Crime, Drama, Mystery, Thriller",2009-05-28,5000000,17112713,30018
Fahrenheit 9/11,Documentary,2004-06-25,6000000,222446882,1777
Penelope,"Fantasy, Comedy, Romance",2006-03-01,15000000,21156270,7985
The Mexican,"Action, Comedy, Crime, Romance",2001-03-01,57000000,147845033,6073
Capote,"Crime, Drama",2005-09-30,7000000,49327405,398
Fatal Attraction,"Drama, Thriller",1987-09-18,14000000,320145693,10998
Agora,"Adventure, Drama, History",2009-05-17,70000000,39457342,26428
Sabotage,"Action, Drama, Thriller, Crime",2014-03-28,35000000,22126842,144336
Equals,"Drama, Romance, Science Fiction",2015-07-15,16000000,2084628,301875
The Old Man & the Gun,"Comedy, Crime, Drama",2018-09-27,15800000,11277120,429203
Sisters,Comedy,2015-12-18,30000000,105011053,266294
Woman in Gold,Drama,2015-03-20,11000000,61619773,304357
John Tucker Must Die,"Comedy, Romance",2006-07-27,18000000,68844775,9293
Dog,"Drama, Comedy",2022-02-17,20000000,84774243,626735
Memory,"Action, Thriller, Crime",2022-04-28,30000000,13897255,818397
The Awakening,"Horror, Thriller, Mystery",2011-08-17,4798235,209696,77949
Escape from L.A.,"Action, Adventure, Science Fiction, Thriller",1996-08-09,50000000,42277365,10061
Touch of Evil,"Crime, Thriller, Mystery",1958-03-30,829000,2247500,1480
Little Shop of Horrors,"Horror, Comedy",1986-12-19,25000000,38748395,10776
Alive,"Adventure, Drama, Thriller",1993-01-15,32000000,36733909,7305
A Street Cat Named Bob,"Family, Drama",2016-11-04,8000000,17900000,404378
Never Say Never Again,"Adventure, Action, Thriller",1983-10-07,36000000,160000000,36670
Mission to Mars,"Science Fiction, Adventure, Mystery",2000-03-10,90000000,60874615,2067
Star Trek: Nemesis,"Science Fiction, Action, Adventure, Thriller",2002-12-13,60000000,67312826,201
"Synecdoche, New York",Drama,2008-10-24,20000000,4383538,4960
The Green Inferno,"Horror, Thriller, Adventure",2013-09-08,5000000,12666449,171424
Overboard,"Romance, Comedy",2018-04-13,12000000,91244913,454619
47 Meters Down: Uncaged,"Horror, Drama, Adventure",2019-08-15,12000000,47582563,480105
Mustang,Drama,2015-06-17,1300000,5274664,336804
Delicatessen,"Comedy, Science Fiction, Fantasy",1991-04-17,4000000,1794187,892
A Haunted House 2,"Comedy, Horror",2014-04-17,4000000,25343661,184345
Paranormal Activity: The Ghost Dimension,"Horror, Thriller",2015-10-21,10000000,78903124,146301
